City ID,City Name,Country,Latitude,Longitude,Hemisphere,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
3388456,sao jose da coroa grande,BR,-8.9,-35.15,South,72.63,85,5,9.84
4956335,yarmouth,US,41.71,-70.23,North,71.37,100,90,9.17
2360372,gorom-gorom,BF,14.44,-0.24,North,77.41,73,93,2.17
2173911,broken hill,AU,-31.95,141.43,South,68,28,17,6.93
6096551,pangnirtung,CA,66.15,-65.71,North,46.81,70,99,7.54
2229752,kumba,CM,4.64,9.45,North,70.12,96,71,1.63
1244926,hambantota,LK,6.12,81.12,North,78.8,100,40,4.7
5478673,meadow lake,US,34.8,-106.54,North,73.53,27,1,6.93
5983720,iqaluit,CA,63.75,-68.51,North,42.39,93,90,10.29
5131638,plainview,US,40.78,-73.47,North,75.34,88,75,12.75
3155152,gravdal,NO,68.12,13.5,North,55.31,76,74,11.05
4031742,egvekinot,RU,66.32,-179.17,North,39.22,74,99,1.1
2038421,bayan,CN,46.08,127.4,North,68,98,100,19.28
115781,shahr-e babak,IR,30.12,55.12,North,62.04,29,0,6.8
2039557,khasan,RU,42.43,130.64,North,71.6,94,100,34.45
2160517,launceston,AU,-41.45,147.17,South,57.63,67,40,26.4
5955902,fort nelson,CA,58.81,-122.7,North,62.6,45,75,3.36
3579761,baillif,GP,16.02,-61.75,North,78.8,94,90,2.24
3414079,olafsvik,IS,64.89,-23.71,North,46.18,76,100,30.91
